motion_name,SG ASL Delegate 2026-4-11 metarig A
pose_name,SG ASL Delegate 2026-4-11 metarig A P2
export_date,2026-4-11
current_frame,43
frame_budget,16

bone_name,w,x,y,z
spine,0.9919,-0.1274,-0.0017,-0.0004
spine.001,0.9979,0.0654,0.0015,-0.0025
spine.002,0.9968,0.0774,0.0182,0.0003
spine.003,0.9995,-0.0235,-0.02,-0.0087
spine.004,0.98,-0.199,0.0003,-0.0006
spine.005,0.9953,0.0969,-0.0014,0.0016
spine.006,0.9957,0.0928,-0.0011,0.0036
face,1.0,-0.0,0.0,0.0
nose,1.0,-0.0,0.0,0.0
nose.001,1.0,-0.0,0.0,-0.0
nose.002,1.0,0.0,0.0,-0.0
nose.003,1.0,-0.0,-0.0,0.0
nose.004,1.0,-0.0,-0.0,-0.0
lip.T.L,1.0,-0.0,-0.0,0.0
lip.T.L.001,1.0,0.0,0.0,0.0
lip.B.L,1.0,0.0,-0.0,0.0
lip.B.L.001,1.0,0.0,0.0,-0.0
jaw,1.0,0.0,0.0,0.0
chin,1.0,-0.0,0.0,-0.0
chin.001,1.0,-0.0,0.0,-0.0
ear.L,1.0,0.0,-0.0,0.0
ear.L.001,1.0,0.0,0.0,-0.0
ear.L.002,1.0,0.0,0.0,-0.0
ear.L.003,1.0,-0.0,0.0,-0.0
ear.L.004,1.0,-0.0,0.0,0.0
ear.R,1.0,0.0,-0.0,0.0
ear.R.001,1.0,0.0,-0.0,0.0
ear.R.002,1.0,0.0,0.0,-0.0
ear.R.003,1.0,-0.0,0.0,0.0
ear.R.004,1.0,0.0,0.0,0.0
lip.T.R,1.0,0.0,0.0,-0.0
lip.T.R.001,1.0,0.0,0.0,0.0
lip.B.R,1.0,0.0,-0.0,-0.0
lip.B.R.001,1.0,-0.0,-0.0,-0.0
brow.B.L,1.0,0.0,0.0,-0.0
brow.B.L.001,1.0,0.0,-0.0,-0.0
brow.B.L.002,1.0,-0.0,-0.0,0.0
brow.B.L.003,1.0,-0.0,0.0,0.0
lid.T.L,1.0,-0.0,-0.0,0.0
lid.T.L.001,1.0,0.0,-0.0,-0.0
lid.T.L.002,1.0,-0.0,0.0,0.0
lid.T.L.003,1.0,0.0,0.0,0.0
lid.B.L,1.0,-0.0,0.0,0.0
lid.B.L.001,1.0,0.0,-0.0,0.0
lid.B.L.002,1.0,-0.0,-0.0,0.0
lid.B.L.003,1.0,0.0,0.0,-0.0
brow.B.R,1.0,0.0,-0.0,0.0
brow.B.R.001,1.0,0.0,-0.0,-0.0
brow.B.R.002,1.0,0.0,-0.0,-0.0
brow.B.R.003,1.0,0.0,-0.0,0.0
lid.T.R,1.0,-0.0,0.0,-0.0
lid.T.R.001,1.0,0.0,-0.0,-0.0
lid.T.R.002,1.0,0.0,-0.0,-0.0
lid.T.R.003,1.0,-0.0,0.0,-0.0
lid.B.R,1.0,0.0,-0.0,-0.0
lid.B.R.001,1.0,0.0,0.0,0.0
lid.B.R.002,1.0,0.0,0.0,-0.0
lid.B.R.003,1.0,0.0,0.0,-0.0
forehead.L,1.0,-0.0,0.0,-0.0
forehead.L.001,1.0,0.0,0.0,-0.0
forehead.L.002,1.0,-0.0,-0.0,-0.0
temple.L,1.0,0.0,-0.0,-0.0
jaw.L,1.0,0.0,-0.0,0.0
jaw.L.001,1.0,-0.0,-0.0,-0.0
chin.L,1.0,0.0,0.0,-0.0
cheek.B.L,1.0,0.0,-0.0,-0.0
cheek.B.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L,1.0,0.0,-0.0,0.0
brow.T.L.001,1.0,-0.0,-0.0,-0.0
brow.T.L.002,1.0,0.0,0.0,0.0
brow.T.L.003,1.0,-0.0,-0.0,0.0
forehead.R,1.0,-0.0,-0.0,-0.0
forehead.R.001,1.0,-0.0,0.0,0.0
forehead.R.002,1.0,-0.0,-0.0,-0.0
temple.R,1.0,-0.0,0.0,0.0
jaw.R,1.0,-0.0,0.0,0.0
jaw.R.001,1.0,-0.0,0.0,0.0
chin.R,1.0,0.0,0.0,-0.0
cheek.B.R,1.0,-0.0,-0.0,0.0
cheek.B.R.001,1.0,-0.0,0.0,0.0
brow.T.R,1.0,-0.0,0.0,0.0
brow.T.R.001,1.0,-0.0,0.0,0.0
brow.T.R.002,1.0,0.0,-0.0,-0.0
brow.T.R.003,1.0,0.0,-0.0,-0.0
eye.L,1.0,0.0,0.0,0.0
eye.R,1.0,0.0,0.0,0.0
cheek.T.L,1.0,0.0,0.0,-0.0
cheek.T.L.001,1.0,-0.0,0.0,-0.0
nose.L,1.0,-0.0,-0.0,-0.0
nose.L.001,1.0,0.0,0.0,-0.0
cheek.T.R,1.0,0.0,0.0,-0.0
cheek.T.R.001,1.0,0.0,-0.0,0.0
nose.R,1.0,-0.0,-0.0,-0.0
nose.R.001,1.0,0.0,-0.0,0.0
teeth.T,1.0,-0.0,-0.0,0.0
teeth.B,1.0,-0.0,-0.0,0.0
tongue,1.0,0.0,0.0,-0.0
tongue.001,1.0,0.0,0.0,0.0
tongue.002,1.0,-0.0,-0.0,0.0
shoulder.L,1.0,0.0,0.0,-0.0
upper_arm.L,0.2868,0.4207,0.8516,-0.1249
forearm.L,0.8314,-0.1751,0.0398,0.5258
hand.L,0.8178,0.5413,0.1837,-0.0671
palm.01.L,0.7077,-0.2596,-0.5715,-0.3244
f_index.01.L,0.9936,-0.106,-0.0385,-0.0027
f_index.02.L,0.9962,-0.086,0.0146,0.0025
f_index.03.L,0.9929,-0.114,0.0078,0.0331
thumb.01.L,0.8563,-0.1817,-0.4835,-0.0047
thumb.02.L,0.99,-0.1319,-0.0108,0.0493
thumb.03.L,0.9989,0.0044,-0.0299,0.0367
palm.02.L,0.7233,-0.1621,-0.5826,-0.3334
f_middle.01.L,0.9811,-0.1899,-0.022,0.029
f_middle.02.L,0.992,-0.1198,0.0385,0.0122
f_middle.03.L,0.9979,-0.0581,0.02,0.0201
palm.03.L,0.7304,-0.0764,-0.5803,-0.3521
f_ring.01.L,0.964,-0.2527,0.025,0.0791
f_ring.02.L,0.9968,-0.0742,0.0209,0.0207
f_ring.03.L,0.9861,-0.1566,0.0412,0.0367
palm.04.L,0.7189,0.0133,-0.5927,-0.3629
f_pinky.01.L,0.9288,-0.3172,0.1095,0.1571
f_pinky.02.L,0.9993,-0.032,-0.0005,0.0166
f_pinky.03.L,0.9955,-0.0915,0.0201,0.0147
shoulder.R,1.0,-0.0,-0.0,-0.0
upper_arm.R,0.6195,0.3861,-0.6833,0.0169
forearm.R,0.4535,-0.1381,-0.1139,-0.8731
hand.R,0.8423,0.4776,-0.185,0.1682
palm.01.R,0.7191,-0.2897,0.5684,0.2755
f_index.01.R,0.9701,-0.2414,0.0253,0.0076
f_index.02.R,0.9993,-0.0277,-0.0269,0.0013
f_index.03.R,0.9936,-0.1075,-0.008,-0.033
thumb.01.R,0.8846,-0.0567,-0.0862,-0.4548
thumb.02.R,0.9953,0.0292,-0.0165,-0.0912
thumb.03.R,0.9577,0.2716,0.0947,-0.0039
palm.02.R,0.739,-0.1871,0.5779,0.2913
f_middle.01.R,0.892,0.4404,0.0128,-0.1006
f_middle.02.R,0.9905,0.1318,-0.0402,-0.002
f_middle.03.R,0.9596,0.28,-0.0262,-0.0121
palm.03.R,0.736,-0.1222,0.5996,0.2896
f_ring.01.R,0.8624,0.5024,0.0054,-0.0616
f_ring.02.R,0.7593,0.6499,-0.0285,0.0154
f_ring.03.R,0.8972,0.4306,-0.0701,-0.0682
palm.04.R,0.7428,-0.0328,0.5995,0.2964
f_pinky.01.R,0.8924,0.4152,-0.1318,-0.1176
f_pinky.02.R,0.7858,0.6183,-0.0089,0.0084
f_pinky.03.R,0.805,0.5882,-0.0265,-0.0722
breast.L,1.0,-0.0,-0.0,-0.0
breast.R,1.0,-0.0,-0.0,-0.0
pelvis.L,1.0,0.0,0.0,-0.0
pelvis.R,1.0,-0.0,0.0,-0.0
thigh.L,0.0003,-0.0034,-0.984,-0.1779
shin.L,0.9953,-0.0899,-0.0361,0.0031
foot.L,0.457,0.8887,0.037,-0.0031
toe.L,0.9989,-0.0352,-0.0304,0.0047
heel.02.L,1.0,-0.0,-0.0,-0.0
thigh.R,0.0033,-0.0018,0.9841,0.1776
shin.R,0.9953,-0.0898,0.037,-0.0033
foot.R,0.4579,0.8883,-0.0368,0.003
toe.R,0.9989,-0.0349,0.032,-0.0047
heel.02.R,1.0,0.0,-0.0,0.0
